sheet,CP_Name,age_band,pop
Males,"Oban, Lorn and the Isles",65-74,1473
Males,"Mid-Argyll, Kintyre and Islay",65-74,1607
Males,Bute and Cowal,65-74,1957
Males,Helensburgh and Lomond,65-74,1642
Males,Lochaber,65-74,1361
Males,Badenoch and Strathspey,65-74,960
Males,Nairn and Nairnshire,65-74,1027
Males,Inverness,65-74,4875
Males,"Skye, Lochalsh and West Ross",65-74,1738
Males,Mid Ross,65-74,1913
Males,East Ross,65-74,1485
Males,Sutherland,65-74,1235
Males,Caithness,65-74,1800
Persons,"Oban, Lorn and the Isles",75 and over,2668
Persons,"Mid-Argyll, Kintyre and Islay",75 and over,2977
Persons,Bute and Cowal,75 and over,3403
Persons,Helensburgh and Lomond,75 and over,3373
Persons,Lochaber,75 and over,2468
Persons,Badenoch and Strathspey,75 and over,1769
Persons,Nairn and Nairnshire,75 and over,1902
Persons,Inverness,75 and over,9346
Persons,"Skye, Lochalsh and West Ross",75 and over,2736
Persons,Mid Ross,75 and over,3607
Persons,East Ross,75 and over,2692
Persons,Sutherland,75 and over,2205
Persons,Caithness,75 and over,3368
Females,"Oban, Lorn and the Isles",75 and over,1475
Females,"Mid-Argyll, Kintyre and Islay",75 and over,1630
Females,Bute and Cowal,75 and over,1873
Females,Helensburgh and Lomond,75 and over,1885
Females,Lochaber,75 and over,1358
Females,Badenoch and Strathspey,75 and over,964
Females,Nairn and Nairnshire,75 and over,1077
Females,Inverness,75 and over,5288
Females,"Skye, Lochalsh and West Ross",75 and over,1430
Females,Mid Ross,75 and over,1967
Females,East Ross,75 and over,1464
Females,Sutherland,75 and over,1189
Females,Caithness,75 and over,1889
Males,"Oban, Lorn and the Isles",75 and over,1193
Males,"Mid-Argyll, Kintyre and Islay",75 and over,1347
Males,Bute and Cowal,75 and over,1530
Males,Helensburgh and Lomond,75 and over,1488
Males,Lochaber,75 and over,1110
Males,Badenoch and Strathspey,75 and over,805
Males,Nairn and Nairnshire,75 and over,825
Males,Inverness,75 and over,4058
Males,"Skye, Lochalsh and West Ross",75 and over,1306
Males,Mid Ross,75 and over,1640
Males,East Ross,75 and over,1228
Males,Sutherland,75 and over,1016
Males,Caithness,75 and over,1479
